# Start time is 14:53:28
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 121.3; lockin V = 499.9mV, tau = 300ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
-2560.0061036 0.0305180 0.0002696 -0.000000156729888 -0.000000341136961
-2539.8641947 0.0305180 0.0002686 0.000000539271607 0.000000200524196
-2520.0274662 0.0305180 0.0002691 0.000000197140763 0.000000063736590
-2499.8855573 0.0305180 0.0002677 -0.000000054738773 -0.000000169117599
-2480.0488289 0.0305180 0.0002689 -0.000000213142756 -0.000000026728532
-2459.9069200 0.0305180 0.0002703 0.000000316712805 0.000000030489076
-2440.0701915 0.0305180 0.0002696 0.000000046065790 0.000000049044503
-2419.9282826 0.0305180 0.0002697 -0.000000200534182 -0.000000457649816
-2400.0915541 0.0305180 0.0002687 -0.000000213634411 0.000000090916246
-2379.9496452 0.0305180 0.0002659 -0.000000102424029 -0.000000449877906
-2360.1129168 0.0305180 0.0002651 0.000000380304895 -0.000000292416116
-2339.9710079 0.0305180 0.0002667 0.000000114207304 -0.000000153004000
-2320.1342794 0.0305180 0.0002645 -0.000000122782779 -0.000000347549623
-2299.9923705 0.0305180 0.0002658 -0.000000156764545 -0.000000375164544
-2279.8504616 0.0305180 0.0002642 -0.000000109105722 -0.000000569364775
-2260.0137331 0.0305180 0.0002637 -0.000000121885817 -0.000000361568548
-2239.8718242 0.0305180 0.0002651 -0.000000123788998 -0.000000074533617
-2220.0350958 0.0305180 0.0002676 -0.000000093121351 -0.000000450816574
-2199.8931868 0.0305180 0.0002633 -0.000000185798627 -0.000000210566413
-2180.0564584 0.0305180 0.0002635 -0.000000125337975 -0.000000317300794
-2159.9145495 0.0305180 0.0002631 -0.000000229402617 -0.000000031154015
-2140.0778210 0.0305180 0.0002658 0.000000137988255 0.000000136715356
-2119.9359121 0.0305180 0.0002684 0.000000063294864 0.000000038809619
-2100.0991836 0.0305180 0.0002653 -0.000000338614071 -0.000000096630488
-2079.9572747 0.0305180 0.0002662 -0.000000016161766 -0.000000087048794
-2060.1205463 0.0305180 0.0002676 0.000000217850779 -0.000000320613739
-2039.9786374 0.0305180 0.0002677 0.000000080699571 -0.000000454276956
-2020.1419089 0.0305180 0.0002685 -0.000000334133372 -0.000000397922241
-2000.0000000 0.0305180 0.0002688 0.000000235267234 -0.000000214280552
-1979.8580911 0.0305180 0.0002700 0.000000236207077 -0.000000550824621
-1960.0213626 0.0305180 0.0002706 -0.000000075282554 -0.000000256518834
-1939.8794537 0.0305180 0.0002696 -0.000000377331468 -0.000000322213233
-1920.0427253 0.0305180 0.0002696 -0.000000067848988 -0.000000299138339
-1899.9008164 0.0305180 0.0002691 0.000000101905354 -0.000000717280703
-1880.0640879 0.0305180 0.0002723 -0.000000021344997 -0.000000253605322
-1859.9221790 0.0305180 0.0002666 0.000000190322794 -0.000000001557789
-1840.0854505 0.0305180 0.0002712 -0.000000136822263 0.000000043250962
-1819.9435416 0.0305180 0.0002694 0.000000050860161 -0.000000117035642
-1800.1068132 0.0305180 0.0002717 -0.000000168550169 -0.000000317192712
-1779.9649042 0.0305180 0.0002679 -0.000000004565872 -0.000000054615419
-1760.1281758 0.0305180 0.0002699 -0.000000175823374 -0.000000075730154
-1739.9862669 0.0305180 0.0002696 -0.000000058508716 0.000000039385272
-1720.1495384 0.0305180 0.0002669 -0.000000075101047 -0.000000316302799
-1700.0076295 0.0305180 0.0002623 -0.000000552072849 -0.000000312033565
-1679.8657206 0.0305180 0.0002602 -0.000000410317001 -0.000000301426855
-1660.0289921 0.0305180 0.0002679 -0.000000611824507 -0.000000087484059
-1639.8870832 0.0305180 0.0002619 -0.000000144358624 -0.000000219713429
-1620.0503548 0.0305180 0.0002676 -0.000000404316694 -0.000000122243544
-1599.9084459 0.0305180 0.0002651 -0.000000059121964 -0.000000376592517
-1580.0717174 0.0305180 0.0002694 -0.000000314143511 -0.000000397341301
-1559.9298085 0.0305180 0.0002726 -0.000000511553892 -0.000000264122159
-1540.0930800 0.0305180 0.0002710 -0.000000555775828 -0.000000181942924
