# Start time is 15:17:45
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 1000mV (1e-3 factor); lockin freq = 121.3; lockin V = 499.9mV, tau = 300ms, 1MV/A, sleep time = 2s, 100 kHz bandwidths
# 
1620.0503548 999.9847410 -0.0171680 -0.000075327508259 0.000002215506449
1639.8870832 999.9847410 -0.0175788 -0.000074868735918 0.000002022106846
1660.0289921 999.9847410 -0.0177343 -0.000072163182698 0.000001740158225
1679.8657206 999.9847410 -0.0180939 -0.000072242890148 0.000001361344155
1700.0076295 999.9847410 -0.0179729 -0.000073610903073 0.000001809912744
1720.1495384 999.9847410 -0.0180657 -0.000073240887103 0.000001833034630
1739.9862669 999.9847410 -0.0183762 -0.000074509178633 0.000002248333383
1760.1281758 999.9847410 -0.0182150 -0.000074563031605 0.000001544579950
1779.9649042 999.9847410 -0.0182984 -0.000076192396504 0.000001174845346
1800.1068132 999.9847410 -0.0183142 -0.000080467534770 0.000001702314294
1819.9435416 999.9847410 -0.0178189 -0.000084552484757 0.000002317736636
1840.0854505 999.9847410 -0.0173084 -0.000086544557176 0.000001936070732
1859.9221790 999.9847410 -0.0169620 -0.000087942776637 0.000002254692592
1880.0640879 999.9847410 -0.0168991 -0.000089242260363 0.000002516754734
1899.9008164 999.9847410 -0.0169513 -0.000090650280031 0.000002175177222
1920.0427253 999.9847410 -0.0170717 -0.000093557945781 0.000002839474895
1939.8794537 999.9847410 -0.0173383 -0.000094031900689 0.000002128668531
1960.0213626 999.9847410 -0.0177688 -0.000095187768853 0.000002486545848
1979.8580911 999.9847410 -0.0181204 -0.000097502465099 0.000002325247739
2000.0000000 999.9847410 -0.0187499 -0.000098808151785 0.000002006238194
2020.1419089 999.9847410 -0.0194949 -0.000100643059051 0.000002456795136
2039.9786374 999.9847410 -0.0199985 -0.000104316148346 0.000002827923056
2060.1205463 999.9847410 -0.0204853 -0.000105763163839 0.000002459464876
2079.9572747 999.9847410 -0.0207990 -0.000107971281952 0.000002494538034
